gemeratopm, max, min, mean, standev
0, 0.000000, 0.000000, 0.000000, 0.000000
1, 0.000000, 0.000000, 0.000000, 0.000000
2, 0.000000, 0.000000, 0.000000, 0.000000
3, 2.000000, 2.000000, 2.000000, 0.000000
4, 0.000000, 0.000000, 0.000000, 0.000000
5, 4.000000, 4.000000, 4.000000, 0.000000
6, 0.000000, 0.000000, 0.000000, 0.000000
7, 4.000000, 4.000000, 4.000000, 0.000000
8, 3.000000, 3.000000, 3.000000, 0.000000
9, 0.000000, 0.000000, 0.000000, 0.000000
10, 0.000000, 0.000000, 0.000000, 0.000000
11, 2.000000, 2.000000, 2.000000, 0.000000
12, 2.000000, 2.000000, 2.000000, 0.000000
13, 2.000000, 2.000000, 2.000000, 0.000000
14, 6.000000, 6.000000, 6.000000, 0.000000
15, 0.000000, 0.000000, 0.000000, 0.000000
16, 0.000000, 0.000000, 0.000000, 0.000000
17, 2.000000, 2.000000, 2.000000, 0.000000
18, 2.000000, 2.000000, 2.000000, 0.000000
19, 0.000000, 0.000000, 0.000000, 0.000000
